bone,gender,type,probability,sensitivity,specificity
femur,female,mean,0.0001228,0.979,0.892
femur,female,mean,0.000149,0.979,0.882
femur,female,mean,0.0001759,0.979,0.873
femur,female,mean,0.0002054,0.979,0.863
femur,female,mean,0.0002292,0.979,0.853
femur,female,mean,0.0002625,0.979,0.843
femur,female,mean,0.0003059,0.979,0.833
femur,female,mean,0.0003581,0.979,0.824
femur,female,mean,0.000388,0.979,0.814
femur,female,mean,0.0004537,0.979,0.804
femur,female,mean,0.0005429,0.979,0.794
femur,female,mean,0.0005689,0.979,0.784
femur,female,mean,0.000616,0.979,0.775
femur,female,mean,0.0007025,0.979,0.765
femur,female,mean,0.0008342,0.979,0.755
femur,female,mean,0.0009435,0.979,0.745
femur,female,mean,0.0009726,0.979,0.735
femur,female,mean,0.0009866,0.979,0.725
femur,female,mean,0.0011219,0.979,0.716
femur,female,mean,0.001516,0.979,0.706
femur,female,mean,0.0017878,0.979,0.696
femur,female,mean,0.0017981,0.979,0.686
femur,female,mean,0.0018693,0.979,0.676
femur,female,mean,0.0021336,0.979,0.667
femur,female,mean,0.0026048,0.979,0.657
femur,female,mean,0.0030675,0.979,0.647
femur,female,mean,0.0033419,0.979,0.637
femur,female,mean,0.0034457,0.979,0.627
femur,female,mean,0.0034645,0.979,0.618
femur,female,mean,0.0038789,0.979,0.608
femur,female,mean,0.0044956,0.979,0.598
femur,female,mean,0.0047209,0.979,0.588
femur,female,mean,0.0049015,0.979,0.578
femur,female,mean,0.0054985,0.979,0.569
femur,female,mean,0.0075039,0.979,0.559
femur,female,mean,0.0100823,0.979,0.549
femur,female,mean,0.0115617,0.979,0.539
femur,female,mean,0.0122993,0.979,0.529
femur,female,mean,0.0128488,0.979,0.52
femur,female,mean,0.0131993,0.979,0.51
femur,female,mean,0.0133268,0.979,0.5
femur,female,mean,0.0136475,0.979,0.49
femur,female,mean,0.0168001,0.979,0.48
femur,female,mean,0.0226059,0.979,0.471
femur,female,mean,0.0260255,0.979,0.461
femur,female,mean,0.0301279,0.979,0.451
femur,female,mean,0.0338977,0.979,0.441
femur,female,mean,0.0344845,0.979,0.431
femur,female,mean,0.0351672,0.979,0.422
femur,female,mean,0.03641,0.979,0.412
femur,female,mean,0.0391669,0.979,0.402
femur,female,mean,0.0413723,0.979,0.392
femur,female,mean,0.0437075,0.979,0.382
femur,female,mean,0.0481126,0.979,0.373
femur,female,mean,0.0546076,0.979,0.363
femur,female,mean,0.0609826,0.979,0.353
femur,female,mean,0.0654361,0.979,0.343
femur,female,mean,0.0710858,0.979,0.333
femur,female,mean,0.083553,0.979,0.324
femur,female,mean,0.0937987,0.979,0.314
femur,female,mean,0.0951711,0.979,0.304
femur,female,mean,0.0970243,0.979,0.294
femur,female,mean,0.0990644,0.979,0.284
femur,female,mean,0.1032934,0.979,0.275
femur,female,mean,0.120837,0.979,0.265
femur,female,mean,0.1344302,0.979,0.255
femur,female,mean,0.1387116,0.979,0.245
femur,female,mean,0.1450219,0.979,0.235
femur,female,mean,0.1490699,0.957,0.235
femur,female,mean,0.1522734,0.957,0.225
femur,female,mean,0.1792533,0.957,0.216
femur,female,mean,0.2075768,0.957,0.206
