bone,gender,b0m,b1m,b2m,b0s,b1s,b2s,b0b,b1b,b2b
humerus,male,14.006,-13.212,0,7.691,0,-8.29,17.837,-31.625,16.742
radius,male,4.742,-5.41,0,2.382,0,-3.008,4.852,-7.35,1.771
ulna,male,8.861,-9.887,0,2.862,0,-3.913,8.581,-22.277,12.821
femur,male,13.813,-9.564,0,10.895,0,-7.942,15.689,-17.867,7.293
tibia,male,8.642,-7.294,0,6.407,0,-5.757,11.638,-24.839,15.684
fibula,male,6.22,-5.885,0,2.997,0,-3.161,6.25,-12.781,7.075
